layer,name,channelId,follower,peak_45d,avg_45d,hours_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct,is_general_game,exclude_reason,peak_rank,avg_rank,vs_rank,point
C,아 즈 AZ,e2640468861f80d658873c25dc69e32b,8716,316,108.6,317.9,34528.7,1.25,3.9615,34.37,virtual_only,,283,204,145,196.2
C,아마시로 메이,6bcc1c4b89128eac7bc7a7d698ef7aa2,6345,170,108.5,119.8,13003.9,1.71,2.0495,63.82,virtual_only,,429,205,316,294.2
C,세이로쿠 키라,f63f66f701a9af347c668f3056cdaa9a,3982,370,108.1,182.2,19687.7,2.71,4.9442,29.22,virtual_only,,237,206,226,220.2
C,두뭉,6f1ae352c78027acf1bd92589fc44128,17481,485,107.6,198.0,21303.9,0.62,1.2187,22.19,virtual_only,,185,207,208,203.0
C,제미니님,8aa432a06595c4c7547574790488cf8c,26496,402,107.3,179.2,19220.7,0.4,0.7254,26.69,virtual_only,,221,208,230,219.4
C,방장 라라,cf0962f3589219c7dca8addf13008fcc,3627,252,107.1,146.3,15675.6,2.95,4.3219,42.5,virtual_only,,341,209,276,262.2
C,마무 Mamuu,902744ac298720925b661711d76f7133,4205,295,106.5,216.0,23001.7,2.53,5.4701,36.1,virtual_only,,305,211,199,225.0
C,므므네 mumune,23a256033aae1c6324cec9a69458791d,9277,369,106.3,143.4,15243.4,1.15,1.6431,28.81,virtual_only,,239,212,286,247.0
C,난바다,b1ac916d727d32cb7f472b50f6f97654,10359,354,106.2,277.7,29503.2,1.03,2.8481,30.0,virtual_only,,251,213,166,201.8
C,한 유 월,0feaf00a7322954b2da161d401e09dc8,7186,361,104.3,121.1,12634.1,1.45,1.7582,28.89,virtual_only,,243,214,321,262.6
C,코코론,06d4c49768cb633feeef590fce65bfab,2649,499,102.7,189.5,19464.8,3.88,7.348,20.58,virtual_only,,179,215,227,212.6
C,토코Tokomon,619813d839c6b7ae427298bd299db9fc,8695,789,102.7,232.1,23834.1,1.18,2.7411,13.02,virtual_only,,135,216,196,191.8
C,쫀득찹쌀도넛,cd0b9939c10ac951dbb5fd4cd00567a9,1508,356,102.1,337.3,34443.4,6.77,22.8405,28.68,virtual_only,,250,217,148,196.0
C,아로AURO,4a3cab967a74a5020258195fc9004145,24581,300,101.8,190.5,19396.5,0.41,0.7891,33.93,virtual_only,,301,218,229,239.0
C,판 토,f0088e81766cba82348838db1e14b61d,4726,199,101.5,251.5,25515.4,2.15,5.3989,51.01,virtual_only,,374,220,187,237.6
C,이 늘,1482d68b3478d2962e9d000ed6a33167,5513,336,100.5,513.9,51662.1,1.82,9.371,29.91,virtual_only,,262,221,104,182.4
C,도화령,d7b5e8a2bd0bb3202201fa707a726f80,10292,456,100.0,123.9,12386.1,0.97,1.2035,21.93,virtual_only,,196,222,330,260.0
C,텐플라스텐 텐텐,88eb7dda524ca626ad3e08359b182900,5044,314,98.9,308.1,30474.8,1.96,6.0418,31.5,virtual_only,,287,223,163,211.8
