layer,name,channelId,follower,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct
C,텐플라스텐 텐텐,88eb7dda524ca626ad3e08359b182900,5044,211.8,287,223,163,308.1,314,98.9,30474.8,1.96,6.0418,31.5
C,아쿠루,78cc61cc55bb3fad7f027d717ce61630,11253,288.0,292,224,350,115.1,309,98.6,11347.0,0.88,1.0084,31.91
C,도도리코 dodorico,d676df6bcb09c553c26a2e2b92542fd6,6702,190.4,232,225,135,372.4,378,98.1,36521.5,1.46,5.4493,25.95
C,니르 Niru,e0b11eab54ad5ecf2306fdd2d7e4f5c2,6012,189.8,177,226,160,326.9,513,97.8,31958.3,1.63,5.3158,19.06
C,포요,57609599a4cb3bb0e65325235f276e42,11073,318.0,364,228,385,109.2,227,95.9,10475.0,0.87,0.946,42.25
C,융이 Yoong E,89bd1d5157cfb9eb41ceb7bf4c418db9,5622,187.0,171,229,153,347.8,545,95.7,33297.3,1.7,5.9227,17.56
C,포냐,943e6cdde63d2e473fe85f238633effc,10337,243.8,259,230,250,182.7,338,95.4,17429.1,0.92,1.6861,28.22
C,그리움 Rium,d98f5b684efeed1b27ddac078e9634fb,2591,194.0,104,231,202,239.8,1095,94.3,22611.6,3.64,8.727,8.61
C,닝냉뇽,eef3f5d5d6b7fd4c7ee36b13c330fec0,3540,209.2,222,232,180,282.8,399,94.1,26625.5,2.66,7.5213,23.58
C,아일라 Iyla,ff182197eed405b1130d22aa3a4fefa0,6286,224.0,150,233,252,183.8,666,93.9,17251.5,1.49,2.7444,14.1
C,사사44,0ac23ae6672e2067492161839e29230e,9310,308.2,415,235,328,132.3,175,93.8,12408.7,1.01,1.3328,53.6
C,미에에 메에,f2e993b9dcfb2ad3e62214a8cf534903,2219,266.0,268,236,295,155.4,328,93.5,14535.2,4.21,6.5503,28.51
C,매화린 Maehwarin,c62ac389ebfc8942302298df5e9cd71b,3798,249.2,330,237,221,213.5,259,93.3,19921.1,2.46,5.2452,36.02
