layer,name,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d
C,미나토 히토리,545.6,590,605,464,252.2,114,33.4,8414.9
C,모몬 헤닐,671.6,322,606,912,124.2,267,33.3,4138.9
C,선아린,690.8,590,607,825,137.7,114,33.3,4586.5
C,냐류98,646.2,1171,612,418,294.2,55,32.7,9630.7
C,치즈냥 ZuNyang,639.4,913,614,528,223.0,72,32.5,7253.4
C,기 찬,697.4,627,615,815,142.5,109,32.5,4630.3
C,망시,671.6,686,616,720,162.6,97,32.4,5274.3
C,밀키 milki,642.0,528,617,724,160.9,131,32.4,5214.0
C,호 댕,758.0,1152,618,701,167.6,56,32.3,5413.7
C,권수페,908.2,1085,619,1109,101.6,60,32.3,3280.5
C,솔솔퀸,613.8,219,620,805,145.6,404,32.3,4700.8
C,멜삐,559.4,765,621,395,318.6,87,32.2,10257.7
C,오렌 Oren,685.4,401,622,891,133.4,181,32.1,4281.9
C,루 랑,715.0,629,623,850,137.4,108,32.1,4409.2
C,미나ㅣMeeNa,521.6,598,624,381,334.5,113,32.1,10731.7
C,후추,507.6,390,625,449,272.0,187,32.1,8718.5
C,김 달래,703.8,1021,627,622,191.6,64,31.9,6121.3
C,겜나나,568.8,738,628,425,293.3,91,31.9,9344.1
C,쏘야지,427.6,298,629,291,466.9,305,31.8,14863.1
C,김뀰빵,651.6,770,630,614,194.6,86,31.8,6194.7
C,베 뉴,698.4,570,631,830,143.4,119,31.8,4564.0
C,유히설,587.8,659,632,508,238.6,100,31.8,7586.2
C,다정현,583.6,590,633,531,227.0,114,31.7,7199.7
C,하예솜,633.4,1021,634,439,283.1,64,31.7,8968.9
C,나다n가막,705.0,889,635,683,175.4,74,31.6,5545.5
C,슨아,729.6,738,637,818,146.9,91,31.5,4625.4
C,치카게 사쿠야,575.6,252,638,675,179.6,353,31.5,5653.4
C,그나로,756.2,787,639,858,139.9,84,31.3,4376.3
C,김오니,632.6,749,640,567,216.0,89,31.2,6732.9
C,루태,557.0,457,642,522,238.1,156,31.1,7415.9
C,리연 L,375.0,187,643,201,726.9,482,31.1,22628.4
C,어츄,648.4,672,644,641,191.6,98,31.1,5963.3
C,르케Leuke,678.0,1254,645,423,306.0,51,31.1,9521.1
C,청둥찌덕,751.0,821,647,820,148.5,81,31.1,4613.0
C,깨미는뚠뚠,689.6,770,648,691,176.8,86,31.0,5485.9
C,준버드,834.6,1171,649,852,141.7,55,31.0,4389.9
C,제철게,598.8,432,650,631,195.6,169,31.0,6058.6
C,쿠챠밍,505.2,166,651,529,233.7,566,31.0,7236.7
C,마카 MACA,771.6,756,652,899,135.9,88,31.0,4208.0
C,한도이 Doi,559.6,494,653,499,249.2,142,31.0,7714.0
C,썸머에요,600.4,388,654,653,189.8,188,30.9,5869.6
C,은왕,711.2,852,656,696,177.1,78,30.9,5473.1
C,뜌 미,843.2,694,657,1104,106.8,96,30.9,3299.2
C,숨끼,595.4,749,660,454,282.6,89,30.7,8686.3
C,싱압둘,665.4,901,661,552,224.4,73,30.7,6892.7
C,폰루루 ㅣ PON RuRu,837.8,931,662,967,123.9,71,30.7,3799.3
C,당근카렌,522.6,191,663,548,225.5,470,30.6,6900.0
