channelId,follower
920708a571b8b9d89e5956963662c08e,1819
518166cdeb0ac9bb7119a381be5df7f4,2256
7f6f495a3fb26181bf4b00316a607871,1818
fa308a4adcf9d95dc35ede522a8a9aad,517
d463ef5f5803dc8bf47036bcf8099e62,3435
a29716533a107b033caf5f16c8d032cc,7423
50bc69419921ed333fee0a0c854076e5,442
17b2791ab1d2e0cd8726870d9931243a,1829
bbd2d3a7abc36bc1d71fab75c35fa0e7,1170
2f6c390e61a3bd09cafde6e75ac784e1,1304
e1c29ad471fff4e804345cb21181efd0,1056
9e9495c138266c1ecc16616ec3c31a2c,1154
5d7f8a961cecff7b7e071f71eaa93593,857
e3b1c8a6af2882052ceda4b225a422c0,1401
3d24cb2450ec17e17f79e964d32a23e3,636
1d2d2fb344a7b181d610650072ab7c3e,906
fc0357a91c252bb64fb3b3c8b0f95729,1168
4ae9592363b5817433142a807b172bb6,588
5dd33d192799b2292333c77eadca08ea,1662
552b6fe655627fc014fccf800175791c,432
627069f4be70477d068791adf73d8f69,759
eb509a24d92170db1ba9bafb58696be0,585
f0be4ff62bf741a843ca6de9bb269504,4967
a0c6cc73a1ad694f70deb952fa915321,1230
c0178e31be471fbbf2b7282a8c0d7f0c,751
83200deed0451059a56775faf689c27e,251
41a1ae4d44647340bd2be35d5ee434d2,739
41bb3c0d8601b085337900ef18f4f695,1294
95e771a3e1538cbf48fa34fb4beb203d,3471
52a6444eb010054c147b8f8ca37fec64,617
5a5956351a81b8f52fdc1bb3fa9aaf5d,1200
3fa2a9006e38ec012535bf50efb217b0,452
11ac97ff4ba6f995d8cc8e9eaa3fe413,3210
0705cccb17685517b84c631b070d6bee,2144
a0ace7a38f3f4e7a4fe85ea2c1c5a8dc,629
36456402c5de56290706cab427698f85,526
21e59fe5c4cdc0211dda82c2b11d0553,377
efdab1b9a95b483eb66472bf79603006,921
3d74925cb9c9b0db1fd213da16db6289,957
d288cb4e5f9bc93986b7afdb00aae46c,2481
beae152e925e1b47c9934721733d9b1e,790
50f649cf08f289626bc40c6deb72a58a,4270
37f098f35c0327d1873f84a489356e03,1688
fefedccfe6a4803803a1f1c71ffdbc65,1093
bc56405400dbae2b1c9072f122c00d1a,1124
269edc95873a1ec9fc534851c0783d1f,728
3d0a92839e13cdb6c87e6a1b8234200c,2247
5cd51d3c832c0fd8b133d1e6ae08349c,1565
e24d8a6e6f04c4f113f50f38028405c7,3547
2c544d88a7bde49eca78a1bd1756e1cc,710
9558bef30ab3ab17374d2ddc99c04ef9,1052
d81bf028fb03ae5998831b60c5bc9fd1,577
4cc2031a4597b6dd2d75c13fd375e433,650
c6b31548a6b82ce27273d691802ff7cd,527
cfe8affb2d6f47e3014bad20c57a4779,1127
4228105c1b603ffe19bb84ac362b88b4,845
451758d2f5fdf831c7650d717e379560,1072
cec29effc1b43d4f9040ff860f4289a5,719
10262937dbcaa8be1dbfb56e4ee065af,367
b0ad4b78805f7eb11ac7a9fe0b686242,1803
285d198535841d4f85ad8e69c6c75060,1178
3bd0ebe04d173a7f5abfabbe793c1fbf,1428
9a1c3da3ada3e13e2fbad6da69225334,1712
3e29f8b51cdd0f7566d3840e1a1a4f8e,778
3c3fed0f28a0e80d5e91829ab9e22037,1760
52329a7e5fcdc24382aafde3c15dbf8c,897
950d3a146bc83a8d978df75f5f76ca20,602
14d38d8fe34cd5f4d253214e3c62e7d9,745
df0e20ff2e2b966a2e4032054741c2e4,2110
70d4c17a7420222f5a249b9e943e2ea8,1012
a8b57b9ee1309ccb1eb1f3a984a0aac9,902
0687ff5a3bbaad574fbaa92e5abd1025,704
7833604b4b64368ffd42eb15eb95c1ff,535
c4a867051fca980c13961bb6d88b1b2d,2025
001fa0b0a6b869d0c1912d2715d14d08,392
2f050f29c9924122356ac91765f17e56,2010
97258346ef627c2a78cca93fab886cd3,861
8d3db5769db2ad8d570eeaadece62a23,693
259537727ab7dc413929428fe4b66c88,928
5f698948f91fb985ec5342148e82e80f,636
