name,platform,channelId,rank,stream_hours,peak_viewers,avg_viewers,viewership,follower,band,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,sample
캐니 canny,naverchzzk,63d1d26a9dbf5ade38d4fb51b960064d,188,6.1,27,23,138,1926,21-30,서브노티카 2,21.0,마인크래프트,20.7,돈 스타브 투게더,15.8,11,true,multi_game,,sample_1_peak_10_50
치쿠사마,naverchzzk,934da465f3a628e84820ad284543ceed,191,23.6,10,6,134,408,10-15,로스트아크,56.1,종합 게임,27.0,talk,5.7,9,true,multi_game,,sample_1_peak_10_50
광말구짱,naverchzzk,8b827c26630c78a3103f7edace82e66a,192,3.8,47,35,134,868,41-50,talk,65.0,그림/아트,7.5,다키스트 던전,7.1,12,false,talk_primary,,sample_1_peak_10_50
뽀그리 BBOGRI,naverchzzk,2c01322c9c897890b706210d5ed1aaf4,194,9.5,20,14,130,1044,16-20,종합 게임,54.6,바이오하자드,29.9,리그 오브 레전드,15.5,3,true,gg_primary,,sample_1_peak_10_50
제누아즈,naverchzzk,82bb71d60ffa85b94ad3823e3c52fe69,195,26.7,10,5,129,492,10-15,아레나 브레이크아웃,45.9,종합 게임,21.3,마인크래프트,21.3,9,true,multi_game,,sample_1_peak_10_50
카논제이,naverchzzk,4db9e0f8f8639d08cebb0d1a10100dc0,196,23.3,11,5,128,832,10-15,이스케이프 프롬 타르코프,22.3,종합 게임,18.2,프래그마타,12.3,14,true,multi_game,,sample_1_peak_10_50
지구3,naverchzzk,0620b50934f58b684d7aa06a813ccb48,197,4.4,34,29,127,4016,31-40,오버워치,39.7,PUBG: 배틀그라운드,20.9,발로란트,20.3,15,true,multi_game,,sample_1_peak_10_50
바나나맛우윰,naverchzzk,4435bb951c320149b637c5054c573a46,198,8.2,21,15,126,931,21-30,종합 게임,52.7,발헤임,22.5,호텔 아키텍트,17.3,5,true,gg_primary,,sample_1_peak_10_50
마빡팔이,naverchzzk,0fa9191435d6a7d5b1271550be2f4c4c,199,7.3,25,17,123,1068,21-30,종합 게임,31.3,데드 바이 데이라이트,20.8,고딕 1 리메이크,16.2,12,true,gg_primary,,sample_1_peak_10_50
unknown,naverchzzk,7c779722c787e3771cda9a62851037e1,200,11.7,22,10,122,674,21-30,그림/아트,66.6,종합 게임,22.9,talk,9.3,4,true,gg_secondary,,sample_1_peak_10_50
김세드,naverchzzk,439ad53a326573c0694ce1a19abd4c55,201,25,25,5,122,2307,21-30,종합 게임,100.0,,,,,1,true,gg_primary,,sample_1_peak_10_50
